SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Suppression,Count of Students Expected to Test,Count of students expected to test including previously passed,CountMetStandard,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentMetTestedOnly,Percent No Score,Percent Participation
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,SWD,Students with Disabilities,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Military,Military Parent,03,SBAC,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,homeless,Non-Homeless,03,SBAC,Math,Cross Student Group - Top/Bottom,,,,41.0%,0.378313253012,0.1975903614457,0.2409638554216,0.1686746987951,0.4156479217603,0.0144578313253,0.9855421686746
2017-18,Walla Walla Public Schools,SWD,Students without Disabilities,03,SBAC,Math,,350.0,350.0,162.0,46.3%,0.32,0.2142857142857,0.2657142857142,0.1971428571428,0.4641833810888,0.0028571428571,0.9971428571428
2017-18,Walla Walla Public Schools,ELL,English Language Learners,04,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,04,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Race,White,04,SBAC,Math,,217.0,217.0,112.0,51.6%,0.1566820276497,0.3225806451612,0.2857142857142,0.2304147465437,0.5185185185185,0.0046082949308,0.9953917050691
2017-18,Walla Walla Public Schools,Race,White,05,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Race,White,05,SBAC,Math,,213.0,213.0,119.0,55.9%,0.1784037558685,0.244131455399,0.2394366197183,0.319248826291,0.5693779904306,0.018779342723,0.9812206572769
2017-18,Walla Walla Public Schools,s504,Non Section 504,05,SBAC,Math,,389.0,389.0,171.0,44.0%,0.2827763496143,0.2647814910025,0.2159383033419,0.2236503856041,0.4453125,0.012853470437,0.9871465295629
2017-18,Walla Walla Public Schools,Race,Asian,06,SBAC,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Race,White,06,SBAC,Math,,203.0,203.0,92.0,45.3%,0.2167487684729,0.3103448275862,0.2216748768472,0.231527093596,0.4623115577889,0.0197044334975,0.9802955665024
2017-18,Walla Walla Public Schools,Gender,Female,07,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,s504,Section 504,07,SBAC,Math,,23.0,23.0,9.0,39.1%,0.391304347826,0.1304347826086,0.2608695652173,0.1304347826086,0.4285714285714,0.0869565217391,0.9130434782608
2017-18,Walla Walla Public Schools,All,All Students,08,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,s504,Non Section 504,08,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,ELL,English Language Learners,08,SBAC,ELA,,40.0,40.0,5.0,12.5%,0.525,0.35,0.125,0.0,0.125,0.0,1.0
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,08,SBAC,ELA,,181.0,181.0,133.0,73.5%,0.0718232044198,0.1823204419889,0.4585635359116,0.2762430939226,0.7430167597765,0.0110497237569,0.988950276243
2017-18,Walla Walla Public Schools,Race,Native Hawaiian/ Other Pacific Islander,08,SBAC,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,10,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,s504,Section 504,10,SBAC,ELA,,23.0,23.0,11.0,47.8%,0.1304347826086,0.391304347826,0.3478260869565,0.1304347826086,0.4782608695652,0.0,1.0
2017-18,Walla Walla Public Schools,SWD,Students with Disabilities,10,SBAC,ELA,<5%,,,,<5%,,,,,,,
2017-18,Walla Walla Public Schools,ELL,Non-English Language Learners,All Grades,AIM,ELA,Cross Student Group - N<10,,,,60.9%,0.2173913043478,0.1739130434782,0.5217391304347,0.0869565217391,0.6086956521739,0.0,1.0
2017-18,Walla Walla Public Schools,Race,Black/ African American,All Grades,SBAC,Math,<14%,,,,<14%,,,,,,,
2017-18,Walla Walla Public Schools,SWD,Students with Disabilities,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Gender,Female,03,SBAC,ELA,,234.0,234.0,94.0,40.2%,0.3247863247863,0.2692307692307,0.2435897435897,0.1581196581196,0.4034334763948,0.0042735042735,0.9957264957264
2017-18,Walla Walla Public Schools,Migrant,Migrant,03,SBAC,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Race,White,03,SBAC,ELA,,224.0,224.0,122.0,54.5%,0.21875,0.21875,0.2901785714285,0.2544642857142,0.5545454545454,0.0178571428571,0.9821428571428
